uid,years_experience,expected_salary_k,age,weekly_hours,num_applications,gender,job_level,industry,user_active_loc,user_edu,political_affiliation,expected_title,user_skills,education_ordinal,job_level_ordinal,ground_truth_jd_id,user_profile_text
REC_01502,,25.0,35.0,38.6,9.0,Male,Senior,Real Estate,Shanghai,Bachelor's,Non-affiliated,GIS Specialist (RE),"Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination",1.0,3,JD_1328,"Skills: Cartography, Financial Analysis, GIS (ArcGIS/QGIS), Operations Management, Property Management Software, PropTech Market, BIM Coordination. Education: Bachelor's. Level: Senior. Expected Title: GIS Specialist (RE). Industry: Real Estate"
REC_02587,3.0,25.0,28.0,39.2,7.0,Male,Mid-level,Manufacturing,Wuhan,Master's,Non-affiliated,Quality Control Spec,"Data Analysis, Signal Processing, MQTT/OPC-UA, Problem Solving, PLC Programming, Business Continuity, SCADA, Spectroscopy",2.0,2,JD_0328,"Skills: Data Analysis, Signal Processing, MQTT/OPC-UA, Problem Solving, PLC Programming, Business Continuity, SCADA, Spectroscopy. Education: Master's. Level: Mid-level. Expected Title: Quality Control Spec. Industry: Manufacturing"
REC_02654,4.0,18.0,27.0,42.3,7.0,Female,Mid-level,Telecom,,Master's,,Signal Processing Eng,"Network Slicing, Signal Processing, SIP/VoIP, Operations Management, Optical Engineering, Network Security, Infrastructure, Microservices",2.0,2,JD_0549,"Skills: Network Slicing, Signal Processing, SIP/VoIP, Operations Management, Optical Engineering, Network Security, Infrastructure, Microservices. Education: Master's. Level: Mid-level. Expected Title: Signal Processing Eng. Industry: Telecom"
REC_01056,8.0,,29.0,41.3,,Male,Lead,Media,Suzhou,Bachelor's,Non-affiliated,Video Streaming Eng,"Agile/Scrum, DRM Technologies, Recommendation Systems, Content Licensing, Communication, Networking",1.0,4,JD_0097,"Skills: Agile/Scrum, DRM Technologies, Recommendation Systems, Content Licensing, Communication, Networking. Education: Bachelor's. Level: Lead. Expected Title: Video Streaming Eng. Industry: Media"
REC_00706,0.0,15.0,22.0,48.7,11.0,Male,Junior,FinTech,Hangzhou,High School,,Officer Compliance,"Stochastic Calculus, Risk Assessment, Financial Modeling, Python, Logistic Regression",0.0,1,JD_0018,"Skills: Stochastic Calculus, Risk Assessment, Financial Modeling, Python, Logistic Regression. Education: High School. Level: Junior. Expected Title: Officer Compliance. Industry: FinTech"
REC_00107,12.0,30.0,36.0,44.9,4.0,Male,Senior,Healthcare,Chongqing,Bachelor's,,Genomic Data Analyst,"Linux/Unix, WebRTC, Deep Learning, Biostatistics, Cloud Computing (AWS/Azure)",1.0,3,JD_1064,"Skills: Linux/Unix, WebRTC, Deep Learning, Biostatistics, Cloud Computing (AWS/Azure). Education: Bachelor's. Level: Senior. Expected Title: Genomic Data Analyst. Industry: Healthcare"
REC_00590,7.0,20.0,31.0,45.4,12.0,Male,Senior,Manufacturing,Suzhou,Master's,CPC Candidate,IIoT Integrator,"Quality Assurance, Industry 4.0, System Integration, ERP/MRP Systems, Signal Processing, Design of Experiments (DOE)",2.0,3,JD_0209,"Skills: Quality Assurance, Industry 4.0, System Integration, ERP/MRP Systems, Signal Processing, Design of Experiments (DOE). Education: Master's. Level: Senior. Expected Title: IIoT Integrator. Industry: Manufacturing"
REC_02469,2.0,14.0,28.0,35.6,6.0,Female,Junior,Real Estate,Changsha,Bachelor's,Non-affiliated,RE Portfolio Strategist,"Portfolio Management, AutoCAD, BMS Systems, IoT Architecture, Procore, Urban Planning, Financial Modeling, BIM Coordination",1.0,1,JD_1159,"Skills: Portfolio Management, AutoCAD, BMS Systems, IoT Architecture, Procore, Urban Planning, Financial Modeling, BIM Coordination. Education: Bachelor's. Level: Junior. Expected Title: RE Portfolio Strategist. Industry: Real Estate"
REC_02414,0.0,7.7,21.0,39.4,12.0,Female,Intern,Media,,Master's,Non-affiliated,Social Strategist,"Java/Go, Audio Programming, AdTech (OpenRTB), High Throughput, Video Codecs (H.264/H.265), SQL",2.0,0,JD_0840,"Skills: Java/Go, Audio Programming, AdTech (OpenRTB), High Throughput, Video Codecs (H.264/H.265), SQL. Education: Master's. Level: Intern. Expected Title: Social Strategist. Industry: Media"
REC_01601,2.0,25.0,28.0,46.6,2.0,Female,Mid-level,Energy,,Bachelor's,Non-affiliated,Smart Grid Developer,"Energy Yield Modeling, Carbon Auditing, Power System Dynamics, Power Systems Engineering, Consulting, Excel",1.0,2,JD_0405,"Skills: Energy Yield Modeling, Carbon Auditing, Power System Dynamics, Power Systems Engineering, Consulting, Excel. Education: Bachelor's. Level: Mid-level. Expected Title: Smart Grid Developer. Industry: Energy"
